Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C16, C17, C18, C19, C2, C21, C23, C25, C27, C3, C30, C32, C34, C36, C38, C39, C4, C5, C6, C7, C8, C9",0402,24,100nF,CL05B104KP5NNNC
"C11, C12, C13, C14, C20, C24, C29, C33, C35",0402,9,1uF,CL05A105KO5NNNC
C15,0603,1,10uF,GRM188R61A106ME69D
"C22, C26, C28, C31, C37",0402,5,0.01uF,GRM155R71C103KA01D
D1,0402,1,ORANGE,XZMOK68W-2
J1,MOLEX_47272-0001,1,47272-0001,0472720001
J2,TE_2-1734839-2_1x22-1MP_P0.5mm_Horizontal,1,Conn_01x22_Socket,2-1734839-2 / FH12-22S-0.5SH(55)
J3,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,SFH11-PBPC-D20-ST-BK
"R1, R14, R4, R5, R6, R7",0402,6,0R,RC1005J000CS
"R10, R13",0402,2,1M,ERJ-2RKF1004X
"R11, R12",0402,2,100k,RC0402FR-07100KL
"R2, R3",0402,2,4.7k,RC0402JR-074K7L
R8,0402,1,1k,RC0402JR-071KL
R9,0402,1,348,ERJ-2RKF3480X
U1,ZQE64_TEX,1,SN65DSI86IPAPRQ1,SN65DSI86IPAPRQ1
U2,SOT-23,1,MCP1700x-180xxTT,MCP1700T-1802E/TT
U3,SOT-23,1,MCP1700x-120xxTT,MCP1700T-1202E/TT
U4,Texas_S-PVQFN-N14,1,TXB0104RGY,TXB0104RGYR
U5,SOT-353_SC-70-5,1,74LVC1G07,SN74LVC1G07DCKR
X1,Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm,1,ASCO,ASCO2-27.000MHZ-EK-T3
